ROI,fv_001,fv_002,fv_003,fv_004,fv_005,fv_006,fv_007,fv_008,class
001_1,0.065062,0.32848,0.35652,0.13303,0.057921,0.030944,0.028035,0,2
002_1,0.05594,0.28403,0.34487,0.15081,0.066321,0.04729,0.05075,0,2
003_1,0.049735,0.26432,0.36183,0.17072,0.06119,0.044705,0.047499,0,2
004_1,0.087542,0.29422,0.32012,0.15514,0.073038,0.041958,0.027972,0,2
005_1,0.11728,0.30206,0.28261,0.13987,0.07008,0.050343,0.037757,0,2
006_1,0.11005,0.24593,0.2892,0.1536,0.091173,0.058943,0.051103,0,2
007_1,0.15102,0.31891,0.25605,0.13034,0.060136,0.038095,0.045442,0,2
008_1,0.15931,0.32722,0.2361,0.12264,0.057307,0.037822,0.059599,0,2
009_1,0.14432,0.29025,0.24054,0.12284,0.07152,0.054201,0.076331,0,2
010_1,0.15979,0.28204,0.21378,0.12132,0.083463,0.071983,0.067639,0,2
011_1,0.17512,0.24071,0.19742,0.12666,0.089176,0.078191,0.09273,0,2
012_1,0.060606,0.28859,0.36364,0.1501,0.056358,0.039649,0.041065,0,2
013_1,0.054501,0.26057,0.34951,0.1635,0.073753,0.052332,0.045824,0,2
014_1,0.061883,0.2678,0.34356,0.15764,0.072286,0.053081,0.043745,0,2
015_1,0.05153,0.30811,0.35937,0.14868,0.059313,0.04321,0.029791,0,2
016_1,0.18839,0.3646,0.21913,0.10042,0.054054,0.036301,0.037096,0,2
017_1,0.19757,0.32459,0.2191,0.11174,0.063046,0.043071,0.040886,0,2
018_1,0.050889,0.23146,0.34911,0.18331,0.087551,0.053899,0.043776,0,2
019_1,0.053369,0.21995,0.32803,0.19677,0.087601,0.061186,0.0531,0,2
020_1,0.085398,0.3005,0.34217,0.13699,0.060041,0.037015,0.03789,0,2
021_1,0.11775,0.3274,0.29035,0.13038,0.050258,0.033601,0.050258,0,2
022_1,0.073274,0.2388,0.27118,0.17174,0.083415,0.066732,0.094864,0,2
023_1,0.058525,0.19824,0.26387,0.18065,0.10622,0.086942,0.10555,0,2
024_1,0.072698,0.19556,0.26127,0.18444,0.1054,0.088571,0.092063,0,2
025_1,0.088534,0.24354,0.28592,0.1643,0.090566,0.070247,0.056894,0,2
026_1,0.068635,0.31572,0.34887,0.15022,0.056721,0.030821,0.029008,0,2
027_1,0.041767,0.25462,0.34297,0.17189,0.083802,0.053815,0.051138,0,2
028_1,0.037378,0.24106,0.32665,0.17985,0.0948,0.060401,0.059859,0,2
